Date,Actual,ARIMA_Forecast,LSTM_Forecast
2024-01-03,244.97999572753903,255.5889279898894,
2024-01-04,239.25,255.25883790377196,
2024-01-05,236.8600006103516,255.481694494957,
2024-01-08,236.13999938964844,255.33123538599443,
2024-01-09,238.1100006103516,255.4328161530224,
2024-01-10,235.1000061035156,255.3642350461613,
2024-01-11,230.57000732421875,255.41053680540082,
2024-01-12,220.0800018310547,255.37927669592176,
2024-01-16,215.1000061035156,255.40038160555574,
2024-01-17,214.8600006103516,255.3861328643299,
2024-01-18,216.8800048828125,255.39575274093878,
2024-01-19,209.9900054931641,255.3892579899637,
2024-01-22,212.259994506836,255.39364284768521,
2024-01-23,211.3000030517578,255.39068246054927,
2024-01-24,211.8800048828125,255.3926811324678,
2024-01-25,189.6999969482422,255.39133175170966,
2024-01-26,185.5,255.3922427708787,
2024-01-29,185.6300048828125,255.39162770658245,
2024-01-30,195.3300018310547,255.39204296029104,
2024-01-31,187.0,255.3917626064426,
2024-02-01,188.5,255.391951884175,
2024-02-02,185.0399932861328,255.39182409545307,
2024-02-05,184.259994506836,255.39191037056452,
2024-02-06,177.2100067138672,255.39185212289806,
2024-02-07,188.17999267578125,255.3918914481518,
2024-02-08,189.0,255.39186489815117,
2024-02-09,190.17999267578125,255.39188282308405,
2024-02-12,192.1100006103516,255.3918707212682,
2024-02-13,183.9900054931641,255.3918788916724,
2024-02-14,185.3000030517578,255.39187337551635,
2024-02-15,189.16000366210932,255.39187709968678,
2024-02-16,202.0599975585937,255.3918745853552,
2024-02-20,196.1300048828125,255.39187628287775,
2024-02-21,193.3600006103516,255.39187513681458,
2024-02-22,194.0,255.39187591056617,
2024-02-23,195.3099975585937,255.39187538817652,
2024-02-26,192.2899932861328,255.391875740862,
2024-02-27,204.0399932861328,255.3918755027504,
2024-02-28,200.4199981689453,255.39187566350876,
2024-02-29,204.17999267578125,255.39187555497458,
2024-03-01,200.5200042724609,255.3918756282502,
2024-03-04,198.72999572753903,255.39187557877898,
2024-03-05,183.0500030517578,255.39187561217892,
2024-03-06,179.99000549316406,255.39187558962934,
2024-03-07,174.35000610351562,255.39187560485342,
2024-03-08,181.5,255.39187559457505,
2024-03-11,175.4499969482422,255.39187560151439,
2024-03-12,177.77000427246094,255.39187559682938,
2024-03-13,173.0500030517578,255.3918755999924,
2024-03-14,167.77000427246094,255.3918755978569,
2024-03-15,163.16000366210938,255.39187559929866,
2024-03-18,170.02000427246094,255.39187559832527,
2024-03-19,172.36000061035156,255.39187559898244,
2024-03-20,173.0,255.39187559853875,
2024-03-21,176.38999938964844,255.39187559883828,
2024-03-22,166.69000244140625,255.39187559863606,
2024-03-25,168.75999450683594,255.3918755987726,
2024-03-26,178.5800018310547,255.39187559868043,
2024-03-27,181.41000366210932,255.39187559874267,
2024-03-28,177.4499969482422,255.39187559870066,
2024-04-01,176.1699981689453,255.39187559872903,
2024-04-02,164.75,255.39187559870987,
2024-04-03,164.02000427246094,255.3918755987228,
2024-04-04,170.07000732421875,255.39187559871408,
2024-04-05,169.0800018310547,255.39187559871996,
2024-04-08,169.33999633789062,255.39187559871598,
2024-04-09,172.91000366210938,255.39187559871868,
2024-04-10,173.0399932861328,255.39187559871687,
2024-04-11,172.5500030517578,255.3918755987181,
2024-04-12,172.33999633789062,255.39187559871726,
2024-04-15,170.24000549316406,255.39187559871783,
2024-04-16,156.74000549316406,255.39187559871746,
2024-04-17,157.63999938964844,255.39187559871772,
2024-04-18,151.25,255.39187559871755,
2024-04-19,148.97000122070312,255.39187559871766,
2024-04-22,140.55999755859375,255.39187559871758,
2024-04-23,143.3300018310547,255.39187559871763,
2024-04-24,162.83999633789062,255.3918755987176,
2024-04-25,158.9600067138672,255.39187559871763,
2024-04-26,168.85000610351562,255.3918755987176,
2024-04-29,188.4199981689453,255.3918755987176,
2024-04-30,186.97999572753903,255.3918755987176,
2024-05-01,182.0,255.3918755987176,
2024-05-02,182.8600006103516,255.3918755987176,
2024-05-03,182.1000061035156,255.3918755987176,
2024-05-06,183.8000030517578,255.3918755987176,
2024-05-07,182.3999938964844,255.3918755987176,
2024-05-08,171.58999633789062,255.3918755987176,
2024-05-09,175.00999450683594,255.3918755987176,
2024-05-10,173.0500030517578,255.3918755987176,
2024-05-13,170.0,255.3918755987176,
2024-05-14,174.5,255.3918755987176,
2024-05-15,179.89999389648438,255.3918755987176,
2024-05-16,174.10000610351562,255.3918755987176,
2024-05-17,173.5500030517578,255.3918755987176,
2024-05-20,177.55999755859375,255.3918755987176,
2024-05-21,175.50999450683594,255.3918755987176,
2024-05-22,182.8500061035156,255.3918755987176,
2024-05-23,181.8000030517578,255.3918755987176,
2024-05-24,174.83999633789062,255.3918755987176,
2024-05-28,176.39999389648438,255.3918755987176,
2024-05-29,174.19000244140625,255.3918755987176,
2024-05-30,178.5800018310547,255.3918755987176,
2024-05-31,178.5,255.3918755987176,
2024-06-03,178.1300048828125,255.3918755987176,
2024-06-04,174.77999877929688,255.3918755987176,
2024-06-05,175.35000610351562,255.3918755987176,
2024-06-06,174.60000610351562,255.3918755987176,
2024-06-07,176.1300048828125,255.3918755987176,
2024-06-10,176.05999755859375,255.3918755987176,
2024-06-11,173.9199981689453,255.3918755987176,
2024-06-12,171.1199951171875,255.3918755987176,
2024-06-13,188.38999938964844,255.3918755987176,
2024-06-14,185.8000030517578,255.3918755987176,
2024-06-17,177.9199981689453,255.3918755987176,
2024-06-18,186.5599975585937,255.3918755987176,
2024-06-20,184.67999267578125,255.3918755987176,
2024-06-21,182.3000030517578,255.3918755987176,
2024-06-24,184.97000122070312,255.3918755987176,
2024-06-25,184.3999938964844,255.3918755987176,
2024-06-26,186.5399932861328,255.3918755987176,
2024-06-27,195.1699981689453,255.3918755987176,
2024-06-28,199.5500030517578,255.3918755987176,
2024-07-01,201.0200042724609,255.3918755987176,
2024-07-02,218.88999938964844,255.3918755987176,
2024-07-03,234.5599975585937,255.3918755987176,
2024-07-05,249.8099975585937,255.3918755987176,
2024-07-08,247.7100067138672,255.3918755987176,
2024-07-09,251.0,255.3918755987176,
2024-07-10,262.79998779296875,255.3918755987176,
2024-07-11,263.29998779296875,255.3918755987176,
2024-07-12,235.8000030517578,255.3918755987176,
2024-07-15,255.97000122070312,255.3918755987176,
2024-07-16,255.3099975585937,255.3918755987176,
2024-07-17,252.72999572753903,255.3918755987176,
2024-07-18,251.08999633789065,255.3918755987176,
2024-07-19,247.7899932861328,255.3918755987176,
2024-07-22,244.2100067138672,255.3918755987176,
2024-07-23,253.6000061035156,255.3918755987176,
2024-07-24,225.4199981689453,255.3918755987176,
2024-07-25,216.8000030517578,255.3918755987176,
2024-07-26,221.19000244140625,255.3918755987176,
2024-07-29,224.8999938964844,255.3918755987176,
2024-07-30,232.25,255.3918755987176,
2024-07-31,227.8999938964844,255.3918755987176,
2024-08-01,227.69000244140625,255.3918755987176,
2024-08-02,214.8800048828125,255.3918755987176,
2024-08-05,185.22000122070312,255.3918755987176,
2024-08-06,200.75,255.3918755987176,
2024-08-07,200.7700042724609,255.3918755987176,
2024-08-08,195.6999969482422,255.3918755987176,
2024-08-09,197.0500030517578,255.3918755987176,
2024-08-12,199.0200042724609,255.3918755987176,
2024-08-13,198.47000122070312,255.3918755987176,
2024-08-14,207.38999938964844,255.3918755987176,
2024-08-15,205.0200042724609,255.3918755987176,
2024-08-16,211.1499938964844,255.3918755987176,
2024-08-19,217.07000732421875,255.3918755987176,
2024-08-20,224.8800048828125,255.3918755987176,
2024-08-21,222.6699981689453,255.3918755987176,
2024-08-22,223.82000732421875,255.3918755987176,
2024-08-23,214.4600067138672,255.3918755987176,
2024-08-26,218.75,255.3918755987176,
2024-08-27,213.25,255.3918755987176,
2024-08-28,209.72000122070312,255.3918755987176,
2024-08-29,209.8000030517578,255.3918755987176,
2024-08-30,208.6300048828125,255.3918755987176,
2024-09-03,215.259994506836,255.3918755987176,
2024-09-04,210.58999633789065,255.3918755987176,
2024-09-05,223.4900054931641,255.3918755987176,
2024-09-06,232.6000061035156,255.3918755987176,
2024-09-09,216.1999969482422,255.3918755987176,
2024-09-10,220.07000732421875,255.3918755987176,
2024-09-11,224.5500030517578,255.3918755987176,
2024-09-12,224.66000366210932,255.3918755987176,
2024-09-13,228.0,255.3918755987176,
2024-09-16,229.3000030517578,255.3918755987176,
2024-09-17,229.4499969482422,255.3918755987176,
2024-09-18,230.08999633789065,255.3918755987176,
2024-09-19,234.0,255.3918755987176,
2024-09-20,241.5200042724609,255.3918755987176,
2024-09-23,242.6100006103516,255.3918755987176,
2024-09-24,254.0800018310547,255.3918755987176,
2024-09-25,252.5399932861328,255.3918755987176,
2024-09-26,260.6000061035156,255.3918755987176,
2024-09-27,257.3800048828125,255.3918755987176,
2024-09-30,259.0400085449219,255.3918755987176,
2024-10-01,262.6700134277344,255.3918755987176,
2024-10-02,247.5500030517578,255.3918755987176,
2024-10-03,244.47999572753903,255.3918755987176,
2024-10-04,246.69000244140625,255.3918755987176,
2024-10-07,249.0,255.3918755987176,
2024-10-08,243.5599975585937,255.3918755987176,
2024-10-09,243.82000732421875,255.3918755987176,
2024-10-10,241.8099975585937,255.3918755987176,
2024-10-11,220.1300048828125,255.3918755987176,
2024-10-14,220.1300048828125,255.3918755987176,
2024-10-15,220.009994506836,255.3918755987176,
2024-10-16,221.3999938964844,255.3918755987176,
2024-10-17,221.58999633789065,255.3918755987176,
2024-10-18,220.7100067138672,255.3918755987176,
2024-10-21,218.8999938964844,255.3918755987176,
2024-10-22,217.3099975585937,255.3918755987176,
2024-10-23,217.1300048828125,255.3918755987176,
2024-10-24,244.67999267578125,255.3918755987176,
2024-10-25,256.010009765625,255.3918755987176,
2024-10-28,270.0,255.3918755987176,
2024-10-29,264.510009765625,255.3918755987176,
2024-10-30,258.0400085449219,255.3918755987176,
2024-10-31,257.989990234375,255.3918755987176,
2024-11-01,252.0399932861328,255.3918755987176,
2024-11-04,244.5599975585937,255.3918755987176,
2024-11-05,247.33999633789065,255.3918755987176,
2024-11-06,284.6700134277344,255.3918755987176,
2024-11-07,288.8900146484375,255.3918755987176,
2024-11-08,299.1400146484375,255.3918755987176,
2024-11-11,346.29998779296875,255.3918755987176,
2024-11-12,342.739990234375,255.3918755987176,
2024-11-13,335.8500061035156,255.3918755987176,
2024-11-14,327.69000244140625,255.3918755987176,
2024-11-15,310.57000732421875,255.3918755987176,
2024-11-18,340.7300109863281,255.3918755987176,
2024-11-19,335.760009765625,255.3918755987176,
2024-11-20,345.0,255.3918755987176,
2024-11-21,343.8099975585937,255.3918755987176,
2024-11-22,341.0899963378906,255.3918755987176,
2024-11-25,360.1400146484375,255.3918755987176,
2024-11-26,341.0,255.3918755987176,
2024-11-27,341.79998779296875,255.3918755987176,
2024-11-29,336.0799865722656,255.3918755987176,
2024-12-02,352.3800048828125,255.3918755987176,
2024-12-03,351.79998779296875,255.3918755987176,
2024-12-04,353.0,255.3918755987176,
2024-12-05,359.8699951171875,255.3918755987176,
2024-12-06,377.4200134277344,255.3918755987176,
2024-12-09,397.6099853515625,255.3918755987176,
2024-12-10,392.6799926757813,255.3918755987176,
2024-12-11,409.7000122070313,255.3918755987176,
2024-12-12,424.8399963378906,255.3918755987176,
2024-12-13,420.0,255.3918755987176,
2024-12-16,441.0899963378906,255.3918755987176,
2024-12-17,475.8999938964844,255.3918755987176,
2024-12-18,466.5,255.3918755987176,
2024-12-19,451.8800048828125,255.3918755987176,
2024-12-20,425.510009765625,255.3918755987176,
2024-12-23,431.0,255.3918755987176,
2024-12-24,435.8999938964844,255.3918755987176,
2024-12-26,465.1600036621094,255.3918755987176,
2024-12-27,449.5199890136719,255.3918755987176,
2024-12-30,419.3999938964844,255.3918755987176,
2024-12-31,423.7900085449219,255.3918755987176,
2025-01-02,390.1000061035156,255.3918755987176,
2025-01-03,381.4800109863281,255.3918755987176,
2025-01-06,423.2000122070313,255.3918755987176,
2025-01-07,405.8299865722656,255.3918755987176,
2025-01-08,392.9500122070313,255.3918755987176,
2025-01-10,391.3999938964844,255.3918755987176,
2025-01-13,383.2099914550781,255.3918755987176,
2025-01-14,414.3399963378906,255.3918755987176,
2025-01-15,409.8999938964844,255.3918755987176,
2025-01-16,423.489990234375,255.3918755987176,
2025-01-17,421.5,255.3918755987176,
2025-01-21,432.6400146484375,255.3918755987176,
2025-01-22,416.80999755859375,255.3918755987176,
2025-01-23,416.05999755859375,255.3918755987176,
2025-01-24,414.4500122070313,255.3918755987176,
2025-01-27,394.7999877929688,255.3918755987176,
2025-01-28,396.9100036621094,255.3918755987176,
2025-01-29,395.2099914550781,255.3918755987176,
2025-01-30,410.7799987792969,255.3918755987176,
2025-01-31,401.5299987792969,255.3918755987176,
2025-02-03,386.6799926757813,255.3918755987176,
2025-02-04,382.6300048828125,255.3918755987176,
2025-02-05,387.510009765625,255.3918755987176,
2025-02-06,373.0299987792969,255.3918755987176,
2025-02-07,370.1900024414063,255.3918755987176,
2025-02-10,356.2099914550781,255.3918755987176,
2025-02-11,345.79998779296875,255.3918755987176,
2025-02-12,329.94000244140625,255.3918755987176,
2025-02-13,345.0,255.3918755987176,
2025-02-14,360.6199951171875,255.3918755987176,
2025-02-18,355.010009765625,255.3918755987176,
2025-02-19,354.0,255.3918755987176,
2025-02-20,361.510009765625,255.3918755987176,
2025-02-21,353.44000244140625,255.3918755987176,
2025-02-24,338.1400146484375,255.3918755987176,
2025-02-25,327.0199890136719,255.3918755987176,
2025-02-26,303.7099914550781,255.3918755987176,
2025-02-27,291.1600036621094,255.3918755987176,
2025-02-28,279.5,255.3918755987176,
2025-03-03,300.3399963378906,255.3918755987176,
2025-03-04,270.92999267578125,255.3918755987176,
2025-03-05,272.9200134277344,255.3918755987176,
2025-03-06,272.0599975585937,255.3918755987176,
2025-03-07,259.32000732421875,255.3918755987176,
2025-03-10,252.5399932861328,255.3918755987176,
2025-03-11,225.3099975585937,255.3918755987176,
2025-03-12,247.22000122070312,255.3918755987176,
2025-03-13,248.1300048828125,255.3918755987176,
2025-03-14,247.3099975585937,255.3918755987176,
2025-03-17,245.0599975585937,255.3918755987176,
2025-03-18,228.16000366210932,255.3918755987176,
2025-03-19,231.6100006103516,255.3918755987176,
2025-03-20,233.3500061035156,255.3918755987176,
2025-03-21,234.9900054931641,255.3918755987176,
2025-03-24,258.0799865722656,255.3918755987176,
2025-03-25,283.6000061035156,255.3918755987176,
2025-03-26,282.6600036621094,255.3918755987176,
2025-03-27,272.4800109863281,255.3918755987176,
2025-03-28,275.5799865722656,255.3918755987176,
2025-03-31,249.3099975585937,255.3918755987176,
2025-04-01,263.79998779296875,255.3918755987176,
2025-04-02,254.6000061035156,255.3918755987176,
2025-04-03,265.2900085449219,255.3918755987176,
2025-04-04,255.3800048828125,255.3918755987176,
2025-04-07,223.77999877929688,255.3918755987176,
2025-04-08,245.0,255.3918755987176,
2025-04-09,224.69000244140625,255.3918755987176,
2025-04-10,260.0,255.3918755987176,
2025-04-11,251.83999633789065,255.3918755987176,
2025-04-14,258.3599853515625,255.3918755987176,
2025-04-15,249.91000366210932,255.3918755987176,
2025-04-16,247.6100006103516,255.3918755987176,
2025-04-17,243.47000122070312,255.3918755987176,
2025-04-21,230.259994506836,255.3918755987176,
2025-04-22,230.9600067138672,255.3918755987176,
2025-04-23,254.8600006103516,255.3918755987176,
2025-04-24,250.5,255.3918755987176,
2025-04-25,261.69000244140625,255.3918755987176,
2025-04-28,288.9800109863281,255.3918755987176,
2025-04-29,285.5,255.3918755987176,
2025-04-30,279.8999938964844,255.3918755987176,
2025-05-01,280.010009765625,255.3918755987176,
2025-05-02,284.8999938964844,255.3918755987176,
2025-05-05,284.57000732421875,255.3918755987176,
2025-05-06,273.1099853515625,255.3918755987176,
2025-05-07,276.8800048828125,255.3918755987176,
2025-05-08,279.6300048828125,255.3918755987176,
2025-05-09,290.2099914550781,255.3918755987176,
2025-05-12,321.989990234375,255.3918755987176,
2025-05-13,320.0,255.3918755987176,
2025-05-14,342.5,255.3918755987176,
2025-05-15,340.3399963378906,255.3918755987176,
2025-05-16,346.239990234375,255.3918755987176,
2025-05-19,336.29998779296875,255.3918755987176,
2025-05-20,347.8699951171875,255.3918755987176,
2025-05-21,344.42999267578125,255.3918755987176,
2025-05-22,331.8999938964844,255.3918755987176,
2025-05-23,337.9200134277344,255.3918755987176,
2025-05-27,347.3500061035156,255.3918755987176,
2025-05-28,364.8399963378906,255.3918755987176,
2025-05-29,365.2900085449219,255.3918755987176,
2025-05-30,355.5199890136719,255.3918755987176,
2025-06-02,343.5,255.3918755987176,
2025-06-03,346.6000061035156,255.3918755987176,
2025-06-04,345.1000061035156,255.3918755987176,
2025-06-05,322.489990234375,255.3918755987176,
2025-06-06,298.8299865722656,255.3918755987176,
2025-06-09,285.9599914550781,255.3918755987176,
2025-06-10,314.94000244140625,255.3918755987176,
2025-06-11,334.3999938964844,255.3918755987176,
2025-06-12,323.0799865722656,255.3918755987176,
2025-06-13,313.9700012207031,255.3918755987176,
2025-06-16,331.2900085449219,255.3918755987176,
2025-06-17,326.0899963378906,255.3918755987176,
2025-06-18,317.3099975585937,255.3918755987176,
2025-06-20,327.95001220703125,255.3918755987176,
2025-06-23,327.5400085449219,255.3918755987176,
2025-06-24,356.1700134277344,255.3918755987176,
2025-06-25,342.70001220703125,255.3918755987176,
2025-06-26,324.6099853515625,255.3918755987176,
2025-06-27,324.510009765625,255.3918755987176,
2025-06-30,319.8999938964844,255.3918755987176,
2025-07-01,298.4599914550781,255.3918755987176,
2025-07-02,312.6300048828125,255.3918755987176,
2025-07-03,317.989990234375,255.3918755987176,
2025-07-07,291.3699951171875,255.3918755987176,
2025-07-08,297.0,255.3918755987176,
2025-07-09,297.54998779296875,255.3918755987176,
2025-07-10,300.04998779296875,255.3918755987176,
2025-07-11,307.8900146484375,255.3918755987176,
2025-07-14,317.7300109863281,255.3918755987176,
2025-07-15,319.67999267578125,255.3918755987176,
2025-07-16,312.79998779296875,255.3918755987176,
2025-07-17,323.1499938964844,255.3918755987176,
2025-07-18,321.6600036621094,255.3918755987176,
2025-07-21,334.3999938964844,255.3918755987176,
2025-07-22,329.739990234375,255.3918755987176,
2025-07-23,330.8999938964844,255.3918755987176,
2025-07-24,310.0,255.3918755987176,
2025-07-25,308.739990234375,255.3918755987176,
2025-07-28,318.45001220703125,255.3918755987176,
2025-07-29,325.54998779296875,255.3918755987176,
2025-07-30,322.17999267578125,255.3918755987176,
